candidate,prompt,ttft_ms_mean,total_ms_mean,completion_tokens_mean,decode_tok_s_mean,tool_use_mode,n
muse-glimmer-30b,humaneval-100,33342.51,41464.27,1120.19,27.51,,100
muse-glimmer-30b,synth-bulk-dispatcher-impl,132548.0,153099.2,4096,26.88,native,1
muse-glimmer-30b,synth-horner-mpmath-derivative,70229.4,74806.2,2012,27.17,native,1
muse-glimmer-30b,synth-invoke-sign-artifacts-ps,74230.4,94108.3,2532,27.11,native,1
muse-glimmer-30b,synth-legacy-rename-toolchain,14617.0,67114.7,1602,27.29,native,1
muse-glimmer-30b,synth-nuget-multitarget-design,37892.9,37892.9,1024,27.52,native,1
muse-glimmer-30b,synth-parser-nunit-tests,103543.9,109676.8,2948,27.04,native,1
muse-glimmer-30b,synth-poincare-section-pytest,105018.3,132913.9,3552,26.91,native,1
muse-glimmer-30b,synth-range-expand-bug-fix,27875.7,31589.6,851,27.51,native,1
muse-glimmer-30b,synth-relay-command-refactor,41834.4,48546.7,1309,27.39,native,1
muse-glimmer-30b,synth-resx-toolbar-button,34384.4,44327.1,1193,27.4,native,1
muse-glimmer-30b,synth-vanderpol-rk4-bugfix,28966.3,33665.1,906,27.51,native,1
muse-glimmer-30b,synth-vanderpol-rk4-stepper-c,61222.3,76863.1,2069,27.19,native,1
qwen3-coder-30b-r4,humaneval-100,272.86,5684.4,520.88,96.97,,100
qwen3-coder-30b-r4,synth-bulk-dispatcher-impl,270.8,6545.8,601,95.77,native,1
qwen3-coder-30b-r4,synth-horner-mpmath-derivative,268.2,1140.8,85,97.39,native,1
qwen3-coder-30b-r4,synth-invoke-sign-artifacts-ps,294.3,6194.1,565,95.76,native,1
qwen3-coder-30b-r4,synth-legacy-rename-toolchain,704.2,9038.4,539,93.31,native,1
qwen3-coder-30b-r4,synth-nuget-multitarget-design,242.5,2265.9,194,95.87,native,1
qwen3-coder-30b-r4,synth-parser-nunit-tests,285.6,6062.0,557,96.42,native,1
qwen3-coder-30b-r4,synth-poincare-section-pytest,326.7,9712.3,878,93.55,native,1
qwen3-coder-30b-r4,synth-range-expand-bug-fix,311.8,1407.3,106,96.75,native,1
qwen3-coder-30b-r4,synth-relay-command-refactor,283.3,2057.2,172,96.95,native,1
qwen3-coder-30b-r4,synth-resx-toolbar-button,298.9,2448.7,208,96.75,native,1
qwen3-coder-30b-r4,synth-vanderpol-rk4-bugfix,289.3,1714.0,138,96.85,native,1
qwen3-coder-30b-r4,synth-vanderpol-rk4-stepper-c,281.6,4367.8,394,96.42,native,1
