candidate,prompt,ttft_ms_mean,total_ms_mean,completion_tokens_mean,decode_tok_s_mean,tool_use_mode,n
devstral-2-123b,humaneval-100,1447.71,56127.2,384.48,7.05,,100
devstral-2-123b,synth-bulk-dispatcher-impl,1750.4,105931.2,729,7.0,native,1
devstral-2-123b,synth-horner-mpmath-derivative,2133.1,25935.2,168,7.06,native,1
devstral-2-123b,synth-invoke-sign-artifacts-ps,1884.8,109584.3,753,6.99,native,1
devstral-2-123b,synth-legacy-rename-toolchain,22252.6,138127.7,859,7.04,native,1
devstral-2-123b,synth-nuget-multitarget-design,1623.9,48293.0,329,7.05,native,1
devstral-2-123b,synth-parser-nunit-tests,1737.8,50063.4,340,7.04,native,1
devstral-2-123b,synth-poincare-section-pytest,2624.8,136563.3,932,6.96,native,1
devstral-2-123b,synth-range-expand-bug-fix,1735.7,17083.2,109,7.1,native,1
devstral-2-123b,synth-relay-command-refactor,2361.4,34731.8,228,7.04,native,1
devstral-2-123b,synth-resx-toolbar-button,2335.9,44262.1,295,7.04,native,1
devstral-2-123b,synth-vanderpol-rk4-bugfix,1778.1,21409.0,139,7.08,native,1
devstral-2-123b,synth-vanderpol-rk4-stepper-c,2306.3,65559.4,444,7.02,native,1
devstral-small-2-r3,humaneval-100,422.87,14667.73,449.12,31.57,,100
devstral-small-2-r3,synth-bulk-dispatcher-impl,440.5,27109.6,836,31.35,native,1
devstral-small-2-r3,synth-horner-mpmath-derivative,499.2,8928.5,266,31.56,native,1
devstral-small-2-r3,synth-invoke-sign-artifacts-ps,483.4,21830.8,670,31.39,native,1
devstral-small-2-r3,synth-legacy-rename-toolchain,2486.3,21733.8,553,31.9,native,1
devstral-small-2-r3,synth-nuget-multitarget-design,422.8,10170.5,308,31.6,native,1
devstral-small-2-r3,synth-parser-nunit-tests,444.5,18917.4,580,31.4,native,1
devstral-small-2-r3,synth-poincare-section-pytest,580.9,23207.6,709,31.33,native,1
devstral-small-2-r3,synth-range-expand-bug-fix,439.6,3878.0,109,31.7,native,1
devstral-small-2-r3,synth-relay-command-refactor,540.1,9813.2,292,31.49,native,1
devstral-small-2-r3,synth-resx-toolbar-button,568.6,11102.4,332,31.52,native,1
devstral-small-2-r3,synth-vanderpol-rk4-bugfix,455.3,4845.7,139,31.66,native,1
devstral-small-2-r3,synth-vanderpol-rk4-stepper-c,552.9,16667.8,507,31.46,native,1
gemma4-26b-a4b-r3,humaneval-100,13198.68,19081.02,1318.96,71.18,,100
gemma4-26b-a4b-r3,synth-bulk-dispatcher-impl,29105.1,48707.4,3371,69.9,native,1
gemma4-26b-a4b-r3,synth-horner-mpmath-derivative,59195.8,59195.8,4096,69.74,native,1
gemma4-26b-a4b-r3,synth-invoke-sign-artifacts-ps,17490.9,31520.6,2194,70.71,native,1
gemma4-26b-a4b-r3,synth-legacy-rename-toolchain,8990.3,38745.8,2361,70.83,native,1
gemma4-26b-a4b-r3,synth-nuget-multitarget-design,14877.7,14877.7,1024,71.02,native,1
gemma4-26b-a4b-r3,synth-parser-nunit-tests,35155.1,37548.8,2619,70.65,native,1
gemma4-26b-a4b-r3,synth-poincare-section-pytest,59342.3,59342.3,4096,69.64,native,1
gemma4-26b-a4b-r3,synth-range-expand-bug-fix,7528.3,9416.8,638,71.4,native,1
gemma4-26b-a4b-r3,synth-relay-command-refactor,21520.5,23295.5,1609,70.54,native,1
